"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"API","News","","0","0","20","0","0"
"API","Auth","","0","0","13","0","0"
"API","Secret","","0","0","4","0","0"
"page_tests","news_add","","0","0","10","0","0"
"page_tests","login","","0","0","6","0","0"
"page_tests","register","","0","0","4","0","0"
"page_tests","category_add","","0","0","4","0","0"
"page_tests","category","","0","0","4","0","0"
"API","Categories","","0","0","16","0","0"
"e2e_tests","creation_category_flow","","0","0","2","0","0"
"page_tests","home","","0","0","4","0","0"
"page_tests","news","","0","0","4","0","0"
"page_tests","secret","","0","0","2","0","0"
"page_tests","category_news","","0","0","4","0","0"
"page_tests","news_edit","","0","0","4","0","0"
"e2e_tests","edition_news_flow","","0","0","2","0","0"
"page_tests","news_detail","","0","0","4","0","0"
"e2e_tests","reading_news_flow","","0","0","4","0","0"
"e2e_tests","creation_news_flow","","0","0","2","0","0"
